2020-01-01	Wednesday	18	치킨	254	맑음 추움
2020-01-01	Wednesday	18	카페/디저트	67	맑음 추움
2020-01-01	Wednesday	18	패스트푸드	55	맑음 추움
2020-01-01	Wednesday	18	피자	97	맑음 추움
2020-01-01	Wednesday	18	한식	98	맑음 추움
2020-01-01	Wednesday	18	회	25	맑음 추움
2020-01-01	Wednesday	19	돈까스/일식	24	맑음 추움
2020-01-01	Wednesday	19	분식	91	맑음 추움
2020-01-01	Wednesday	19	아시안/양식	26	맑음 추움
2020-01-01	Wednesday	19	야식	17	맑음 추움
2020-01-01	Wednesday	19	족발/보쌈	65	맑음 추움
2020-01-01	Wednesday	19	중식	17	맑음 추움
2020-01-01	Wednesday	19	찜탕	22	맑음 추움
2020-01-01	Wednesday	19	치킨	207	맑음 추움
2020-01-01	Wednesday	19	카페/디저트	74	맑음 추움
2020-01-01	Wednesday	19	패스트푸드	55	맑음 추움
2020-01-01	Wednesday	19	피자	44	맑음 추움
2020-01-01	Wednesday	19	한식	74	맑음 추움
2020-01-01	Wednesday	19	회	17	맑음 추움
2020-01-01	Wednesday	20	돈까스/일식	20	맑음 추움
2020-01-01	Wednesday	20	분식	64	맑음 추움
2020-01-01	Wednesday	20	아시안/양식	16	맑음 추움
2020-01-01	Wednesday	20	야식	13	맑음 추움
2020-01-01	Wednesday	20	족발/보쌈	45	맑음 추움
2020-01-01	Wednesday	20	중식	13	맑음 추움
2020-01-01	Wednesday	20	찜탕	7	맑음 추움
2020-01-01	Wednesday	20	치킨	163	맑음 추움
2020-01-01	Wednesday	20	카페/디저트	76	맑음 추움
2020-01-01	Wednesday	20	패스트푸드	41	맑음 추움
2020-01-01	Wednesday	20	피자	51	맑음 추움
2020-01-01	Wednesday	20	한식	45	맑음 추움
2020-01-01	Wednesday	20	회	20	맑음 추움
2020-01-01	Wednesday	21	돈까스/일식	16	맑음 추움
2020-01-01	Wednesday	21	분식	52	맑음 추움
2020-01-01	Wednesday	21	아시안/양식	17	맑음 추움
2020-01-01	Wednesday	21	야식	19	맑음 추움
2020-01-01	Wednesday	21	족발/보쌈	30	맑음 추움
2020-01-01	Wednesday	21	중식	8	맑음 추움
2020-01-01	Wednesday	21	찜탕	5	맑음 추움
2020-01-01	Wednesday	21	치킨	200	맑음 추움
2020-01-01	Wednesday	21	카페/디저트	53	맑음 추움
2020-01-01	Wednesday	21	패스트푸드	22	맑음 추움
2020-01-01	Wednesday	21	피자	32	맑음 추움
2020-01-01	Wednesday	21	한식	26	맑음 추움
2020-01-01	Wednesday	21	회	13	맑음 추움
2020-01-01	Wednesday	22	돈까스/일식	6	맑음 추움
2020-01-01	Wednesday	22	분식	21	맑음 추움
2020-01-01	Wednesday	22	아시안/양식	15	맑음 추움
2020-01-01	Wednesday	22	야식	19	맑음 추움
2020-01-01	Wednesday	22	족발/보쌈	19	맑음 추움
2020-01-01	Wednesday	22	중식	6	맑음 추움
2020-01-01	Wednesday	22	찜탕	2	맑음 추움
2020-01-01	Wednesday	22	치킨	159	맑음 추움
2020-01-01	Wednesday	22	카페/디저트	22	맑음 추움
2020-01-01	Wednesday	22	패스트푸드	14	맑음 추움
2020-01-01	Wednesday	22	피자	24	맑음 추움
2020-01-01	Wednesday	22	한식	23	맑음 추움
2020-01-01	Wednesday	22	회	16	맑음 추움
2020-01-01	Wednesday	23	돈까스/일식	1	맑음 추움
2020-01-01	Wednesday	23	분식	6	맑음 추움
2020-01-01	Wednesday	23	야식	15	맑음 추움
2020-01-01	Wednesday	23	족발/보쌈	19	맑음 추움
2020-01-01	Wednesday	23	치킨	90	맑음 추움
2020-01-01	Wednesday	23	카페/디저트	5	맑음 추움
2020-01-01	Wednesday	23	패스트푸드	10	맑음 추움
2020-01-01	Wednesday	23	피자	20	맑음 추움
2020-01-01	Wednesday	23	한식	20	맑음 추움
2020-01-01	Wednesday	23	회	13	맑음 추움
2020-01-02	Thursday	0	돈까스/일식	1	맑음 추움
2020-01-02	Thursday	0	분식	8	맑음 추움
2020-01-02	Thursday	0	야식	4	맑음 추움
2020-01-02	Thursday	0	족발/보쌈	5	맑음 추움
2020-01-02	Thursday	0	찜탕	3	맑음 추움
2020-01-02	Thursday	0	치킨	47	맑음 추움
2020-01-02	Thursday	0	피자	6	맑음 추움
2020-01-02	Thursday	0	한식	3	맑음 추움
2020-01-02	Thursday	0	회	9	맑음 추움
2020-01-02	Thursday	1	돈까스/일식	2	맑음 추움
2020-01-02	Thursday	1	분식	7	맑음 추움
2020-01-02	Thursday	1	족발/보쌈	1	맑음 추움
2020-01-02	Thursday	1	치킨	25	맑음 추움
2020-01-02	Thursday	1	피자	2	맑음 추움
2020-01-02	Thursday	1	회	2	맑음 추움
2020-01-02	Thursday	2	치킨	19	맑음 추움
2020-01-02	Thursday	2	피자	1	맑음 추움
2020-01-02	Thursday	3	치킨	1	맑음 추움
2020-01-02	Thursday	8	치킨	2	맑음 추움
2020-01-02	Thursday	9	분식	1	맑음 추움
2020-01-02	Thursday	9	치킨	1	맑음 추움
2020-01-02	Thursday	9	패스트푸드	2	맑음 추움
2020-01-02	Thursday	9	한식	2	맑음 추움
2020-01-02	Thursday	10	도시락	1	맑음 추움
2020-01-02	Thursday	10	돈까스/일식	2	맑음 추움
2020-01-02	Thursday	10	분식	21	맑음 추움
2020-01-02	Thursday	10	아시안/양식	2	맑음 추움
2020-01-02	Thursday	10	치킨	1	맑음 추움
2020-01-02	Thursday	10	카페/디저트	9	맑음 추움
2020-01-02	Thursday	10	패스트푸드	11	맑음 추움
2020-01-02	Thursday	10	한식	6	맑음 추움
2020-01-02	Thursday	11	도시락	9	맑음 추움
2020-01-02	Thursday	11	돈까스/일식	8	맑음 추움
2020-01-02	Thursday	11	분식	63	맑음 추움
2020-01-02	Thursday	11	아시안/양식	6	맑음 추움
2020-01-02	Thursday	11	족발/보쌈	5	맑음 추움
2020-01-02	Thursday	11	중식	3	맑음 추움
2020-01-02	Thursday	11	찜탕	2	맑음 추움
2020-01-02	Thursday	11	치킨	4	맑음 추움
2020-01-02	Thursday	11	카페/디저트	18	맑음 추움
2020-01-02	Thursday	11	패스트푸드	28	맑음 추움
2020-01-02	Thursday	11	피자	7	맑음 추움
2020-01-02	Thursday	11	한식	30	맑음 추움
2020-01-02	Thursday	12	도시락	4	맑음 추움
2020-01-02	Thursday	12	돈까스/일식	24	맑음 추움
2020-01-02	Thursday	12	분식	58	맑음 추움
2020-01-02	Thursday	12	아시안/양식	16	맑음 추움
2020-01-02	Thursday	12	야식	1	맑음 추움
2020-01-02	Thursday	12	족발/보쌈	3	맑음 추움
2020-01-02	Thursday	12	중식	9	맑음 추움
2020-01-02	Thursday	12	찜탕	6	맑음 추움
2020-01-02	Thursday	12	치킨	32	맑음 추움
2020-01-02	Thursday	12	카페/디저트	25	맑음 추움
2020-01-02	Thursday	12	패스트푸드	36	맑음 추움
2020-01-02	Thursday	12	피자	11	맑음 추움
2020-01-02	Thursday	12	한식	27	맑음 추움
2020-01-02	Thursday	12	회	1	맑음 추움
2020-01-02	Thursday	13	도시락	3	맑음 추움
2020-01-02	Thursday	13	돈까스/일식	18	맑음 추움
2020-01-02	Thursday	13	분식	45	맑음 추움
2020-01-02	Thursday	13	아시안/양식	11	맑음 추움
2020-01-02	Thursday	13	야식	1	맑음 추움
2020-01-02	Thursday	13	족발/보쌈	6	맑음 추움
2020-01-02	Thursday	13	중식	4	맑음 추움
2020-01-02	Thursday	13	찜탕	3	맑음 추움
2020-01-02	Thursday	13	치킨	15	맑음 추움
2020-01-02	Thursday	13	카페/디저트	17	맑음 추움
2020-01-02	Thursday	13	패스트푸드	34	맑음 추움
2020-01-02	Thursday	13	피자	18	맑음 추움
2020-01-02	Thursday	13	한식	30	맑음 추움
2020-01-02	Thursday	13	회	1	맑음 추움
2020-01-02	Thursday	14	도시락	1	맑음 추움
2020-01-02	Thursday	14	돈까스/일식	15	맑음 추움
2020-01-02	Thursday	14	분식	34	맑음 추움
2020-01-02	Thursday	14	아시안/양식	13	맑음 추움
2020-01-02	Thursday	14	야식	3	맑음 추움
2020-01-02	Thursday	14	족발/보쌈	4	맑음 추움
2020-01-02	Thursday	14	중식	2	맑음 추움
2020-01-02	Thursday	14	찜탕	3	맑음 추움
2020-01-02	Thursday	14	치킨	26	맑음 추움
2020-01-02	Thursday	14	카페/디저트	22	맑음 추움
2020-01-02	Thursday	14	패스트푸드	20	맑음 추움
2020-01-02	Thursday	14	피자	13	맑음 추움
2020-01-02	Thursday	14	한식	30	맑음 추움
2020-01-02	Thursday	14	회	1	맑음 추움
2020-01-02	Thursday	15	도시락	2	맑음 추움
